    time        fR1       fR2       fR3       fR4
    1.3699    0.6915    1.1384    2.7044    3.6125
    1.3767    0.6915    1.1383    2.7045    3.6125
    1.3836    0.6915    1.1383    2.7045    3.6125
    1.3904    0.6915    1.1383    2.7046    3.6125
    1.3973    0.6915    1.1383    2.7046    3.6125
    1.4041    0.6915    1.1383    2.7046    3.6125
    1.4110    0.6915    1.1383    2.7046    3.6125
    1.4178    0.6915    1.1383    2.7046    3.6125
    1.4247    0.6915    1.1383    2.7046    3.6125
    1.4315    0.6915    1.1383    2.7046    3.6125
    1.4384    0.6915    1.1383    2.7046    3.6125
    1.4452    0.6915    1.1383    2.7046    3.6125
    1.4521    0.6915    1.1383    2.7046    3.6125
    1.4589    0.6915    1.1383    2.7046    3.6125
    1.4658    0.6915    1.1383    2.7046    3.6125
    1.4726    0.6915    1.1383    2.7046    3.6125
    1.4795    0.6915    1.1383    2.7046    3.6125
    1.4863    0.6915    1.1383    2.7046    3.6125
    1.4932    0.6915    1.1383    2.7046    3.6125
    1.5000    0.6915    1.1383    2.7046    3.6125
    1.5068    0.6915    1.1383    2.7046    3.6125
    1.5137    0.6915    1.1383    2.7046    3.6125
    1.5205    0.6915    1.1383    2.7046    3.6125
    1.5274    0.6915    1.1383    2.7046    3.6125
    1.5342    0.6915    1.1383    2.7046    3.6125
    1.5411    0.6915    1.1383    2.7046    3.6125
    1.5479    0.6915    1.1383    2.7046    3.6125
    1.5548    0.6915    1.1383    2.7046    3.6125
    1.5616    0.6915    1.1383    2.7046    3.6125
    1.5685    0.6915    1.1383    2.7046    3.6125
    1.5753    0.6915    1.1383    2.7046    3.6125
    1.5822    0.6915    1.1383    2.7046    3.6125
    1.5890    0.6915    1.1383    2.7046    3.6125
    1.5959    0.6915    1.1383    2.7046    3.6125
    1.6027    0.6915    1.1383    2.7046    3.6125
    1.6096    0.6915    1.1383    2.7046    3.6125
    1.6164    0.6915    1.1383    2.7046    3.6125
    1.6233    0.6915    1.1383    2.7046    3.6125
    1.6301    0.6915    1.1383    2.7046    3.6125
    1.6370    0.6915    1.1383    2.7046    3.6125
    1.6438    0.6915    1.1383    2.7046    3.6125
    1.6507    0.6915    1.1383    2.7046    3.6125
    1.6575    0.6915    1.1383    2.7046    3.6125
    1.6644    0.6915    1.1383    2.7046    3.6125
    1.6712    0.6915    1.1383    2.7046    3.6125
    1.6781    0.6915    1.1383    2.7046    3.6125
    1.6849    0.6915    1.1383    2.7046    3.6125
    1.6918    0.6915    1.1383    2.7046    3.6125
    1.6986    0.6915    1.1383    2.7046    3.6125
    1.7055    0.6915    1.1383    2.7046    3.6125
    1.7123    0.6915    1.1383    2.7046    3.6125
    1.7192    0.6915    1.1383    2.7046    3.6125
    1.7260    0.6915    1.1383    2.7046    3.6125
    1.7329    0.6915    1.1383    2.7046    3.6125
    1.7397    0.6915    1.1383    2.7046    3.6125
    1.7466    0.6915    1.1383    2.7046    3.6125
