360.00	 -3.33	  0.68
361.00	 -3.29	  0.68
362.00	 -3.25	  0.69
363.00	 -3.20	  0.69
364.00	 -3.16	  0.70
365.00	 -3.11	  0.70
366.00	 -3.07	  0.70
367.00	 -3.02	  0.71
368.00	 -2.98	  0.71
369.00	 -2.93	  0.71
370.00	 -2.89	  0.72
371.00	 -2.85	  0.72
372.00	 -2.80	  0.72
373.00	 -2.76	  0.73
374.00	 -2.71	  0.73
375.00	 -2.67	  0.74
376.00	 -2.62	  0.74
377.00	 -2.58	  0.74
378.00	 -2.53	  0.75
379.00	 -2.49	  0.75
380.00	 -2.44	  0.75
381.00	 -2.40	  0.76
382.00	 -2.36	  0.76
383.00	 -2.31	  0.77
384.00	 -2.27	  0.77
385.00	 -2.22	  0.77
386.00	 -2.18	  0.78
387.00	 -2.13	  0.78
388.00	 -2.09	  0.79
389.00	 -2.04	  0.79
390.00	 -2.00	  0.79
391.00	 -1.95	  0.80
392.00	 -1.91	  0.80
393.00	 -1.86	  0.81
394.00	 -1.82	  0.81
395.00	 -1.77	  0.82
396.00	 -1.73	  0.82
397.00	 -1.68	  0.82
398.00	 -1.64	  0.83
399.00	 -1.59	  0.83
400.00	 -1.55	  0.84
401.00	 -1.50	  0.84
402.00	 -1.46	  0.85
403.00	 -1.41	  0.85
404.00	 -1.37	  0.85
405.00	 -1.32	  0.86
406.00	 -1.28	  0.86
407.00	 -1.23	  0.87
408.00	 -1.18	  0.87
409.00	 -1.14	  0.88
410.00	 -1.09	  0.88
411.00	 -1.05	  0.89
412.00	 -1.00	  0.89
413.00	 -0.96	  0.90
414.00	 -0.91	  0.90
415.00	 -0.87	  0.91
416.00	 -0.82	  0.91
417.00	 -0.77	  0.91
418.00	 -0.73	  0.92
419.00	 -0.68	  0.92
420.00	 -0.64	  0.93
421.00	 -0.59	  0.93
422.00	 -0.55	  0.94
423.00	 -0.50	  0.94
424.00	 -0.45	  0.95
425.00	 -0.41	  0.95
426.00	 -0.36	  0.96
427.00	 -0.32	  0.96
428.00	 -0.27	  0.97
429.00	 -0.22	  0.97
430.00	 -0.18	  0.98
431.00	 -0.13	  0.99
432.00	 -0.08	  0.99
433.00	 -0.04	  1.00
434.00	  0.01	  1.00
435.00	  0.06	  1.01
436.00	  0.10	  1.01
437.00	  0.15	  1.02
438.00	  0.20	  1.02
439.00	  0.24	  1.03
440.00	  0.29	  1.03
441.00	  0.34	  1.04
442.00	  0.38	  1.05
443.00	  0.43	  1.05
444.00	  0.48	  1.06
445.00	  0.52	  1.06
446.00	  0.57	  1.07
447.00	  0.62	  1.07
448.00	  0.67	  1.08
449.00	  0.71	  1.09
450.00	  0.76	  1.09
451.00	  0.81	  1.10
452.00	  0.85	  1.10
453.00	  0.90	  1.11
454.00	  0.95	  1.12
455.00	  1.00	  1.12
456.00	  1.05	  1.13
457.00	  1.09	  1.13
458.00	  1.14	  1.14
459.00	  1.19	  1.15
460.00	  1.24	  1.15
461.00	  1.28	  1.16
462.00	  1.33	  1.17
463.00	  1.38	  1.17
464.00	  1.43	  1.18
465.00	  1.48	  1.19
466.00	  1.53	  1.19
467.00	  1.57	  1.20
468.00	  1.62	  1.21
469.00	  1.67	  1.21
470.00	  1.72	  1.22
471.00	  1.77	  1.23
472.00	  1.82	  1.23
473.00	  1.87	  1.24
474.00	  1.91	  1.25
475.00	  1.96	  1.25
476.00	  2.01	  1.26
477.00	  2.06	  1.27
478.00	  2.11	  1.28
479.00	  2.16	  1.28
480.00	  2.21	  1.29
481.00	  2.26	  1.30
482.00	  2.31	  1.30
483.00	  2.36	  1.31
484.00	  2.41	  1.32
485.00	  2.46	  1.33
486.00	  2.51	  1.33
487.00	  2.56	  1.34
488.00	  2.61	  1.35
489.00	  2.66	  1.36
490.00	  2.71	  1.37
491.00	  2.76	  1.37
492.00	  2.81	  1.38
493.00	  2.86	  1.39
494.00	  2.91	  1.40
495.00	  2.96	  1.41
496.00	  3.01	  1.41
497.00	  3.06	  1.42
498.00	  3.11	  1.43
499.00	  3.16	  1.44
500.00	  3.21	  1.45
501.00	  3.26	  1.46
502.00	  3.32	  1.46
503.00	  3.37	  1.47
504.00	  3.42	  1.48
505.00	  3.47	  1.49
506.00	  3.52	  1.50
507.00	  3.57	  1.51
508.00	  3.62	  1.52
509.00	  3.68	  1.53
510.00	  3.73	  1.54
511.00	  3.78	  1.55
512.00	  3.83	  1.55
513.00	  3.88	  1.56
514.00	  3.94	  1.57
515.00	  3.99	  1.58
516.00	  4.04	  1.59
517.00	  4.09	  1.60
518.00	  4.15	  1.61
519.00	  4.20	  1.62
520.00	  4.25	  1.63
521.00	  4.31	  1.64
522.00	  4.36	  1.65
523.00	  4.41	  1.66
524.00	  4.47	  1.67
525.00	  4.52	  1.68
526.00	  4.57	  1.69
527.00	  4.63	  1.70
528.00	  4.68	  1.71
529.00	  4.74	  1.72
530.00	  4.79	  1.74
531.00	  4.84	  1.75
532.00	  4.90	  1.76
533.00	  4.95	  1.77
534.00	  5.01	  1.78
535.00	  5.06	  1.79
